DISTRICT,YEAR,PRODUCTION,AREA,YIELD,GDD,HEAT_STRESS_DAYS,PRECIP,PET,P_MINUS_PET,TMEAN,TMX,TMN,DTR,VPD,RH,VAP_KPA,CROP
Larkana,2004.0,508.28,161.62,3.14,6631.000091552734,191.52501773834229,12.5,49.0,-36.5,32.1625,39.575,24.8,14.775001,0.0,100.0,21.725,RICE
Larkana,2005.0,631.23,195.2,3.23,6476.200254440308,201.6250114440918,27.7,48.2,-20.5,31.525002,38.9375,24.1625,14.775001,0.0,100.0,21.4,RICE
Larkana,2006.0,286.22,82.3,3.48,6599.700185775757,195.92501735687256,98.7,48.9,49.800003,32.0125,39.425003,24.65,14.775001,0.0,100.0,21.800001,RICE
Larkana,2007.0,329.56,95.85,3.44,6667.400054931641,195.40001773834229,79.4,49.0,30.399998,32.3125,39.725002,24.95,14.775002,0.0,100.0,21.8375,RICE
Larkana,2008.0,373.34,95.2,3.92,6575.400220870972,213.22501182556152,71.4,48.600002,22.799997,31.925001,39.3375,24.5625,14.775001,0.0,100.0,21.7875,RICE
Larkana,2009.0,387.37,96.91,4.0,6704.500129699707,204.69999408721924,49.6,49.3,0.30000067,32.45,39.8625,25.0875,14.775001,0.0,100.0,21.7625,RICE
Larkana,2010.0,327.31,84.01,3.9,6748.900186538696,211.6750059127808,146.1,49.300003,96.8,32.6375,40.05,25.275,14.775,0.0,100.0,21.8375,RICE
Larkana,2011.0,388.53,99.56,3.9,6666.300104141235,203.9250059127808,88.6,49.100002,39.5,32.3,39.7125,24.9375,14.775001,0.0,100.0,22.025,RICE
Larkana,2012.0,359.39,94.26,3.81,6584.700199127197,199.27501773834229,24.5,48.7,-24.2,31.962502,39.375,24.6,14.775001,0.0,100.0,21.737501,RICE
Larkana,2013.0,324.66,97.33,3.34,6730.900291442871,214.0,59.199997,49.4,9.799999,32.5625,39.975,25.2,14.775,0.0,100.0,22.225,RICE
Larkana,2014.0,293.22,102.15,2.87,6712.000045776367,210.90001773834229,19.2,49.5,-30.300001,32.4875,39.9,25.125,14.775001,0.0,100.0,21.9375,RICE
Larkana,2015.0,413.21,104.2,3.97,6675.400312423706,209.35001182556152,79.799995,49.100002,30.699999,32.3375,39.75,24.975,14.775,0.0,100.0,21.7,RICE
Larkana,2016.0,407.24,99.48,4.09,6797.900196075439,212.44999408721924,39.300003,50.0,-10.7,32.8375,40.25,25.475,14.775,0.0,100.0,22.2,RICE
Larkana,2017.0,406.13,106.83,3.8,6800.90020942688,214.0,48.100002,49.7,-1.6000004,32.850002,40.2625,25.487501,14.775001,0.0,100.0,22.1625,RICE
Larkana,2018.0,363.68,87.77,4.14,6784.300268173218,205.47501182556152,14.0,49.7,-35.7,32.787502,40.2,25.425001,14.775001,0.0,100.0,22.3,RICE
Larkana,2019.0,395.61,105.41,3.75,6704.800138473511,205.47501182556152,72.1,49.5,22.6,32.4625,39.875,25.1,14.775001,0.0,100.0,22.0,RICE
Larkana,2020.0,361.48,106.21,3.4,6623.900115966797,196.94999408721924,87.6,49.300003,38.3,32.125,39.537502,24.7625,14.775001,0.0,100.0,21.85,RICE
Larkana,2021.0,400.02,106.26,3.76,6702.500127792358,203.9250059127808,42.7,49.600002,-6.8999996,32.45,39.8625,25.0875,14.775,0.0,100.0,22.25,RICE
